Epoch	Training	Validation
0	0.1752743273973465	0.17349639534950256
1	0.0742979422211647	0.07316548377275467
2	0.04697772115468979	0.04759414494037628
3	0.03963249921798706	0.04113705828785896
4	0.03653913736343384	0.03666107356548309
5	0.03486199676990509	0.03508098050951958
6	0.029485199600458145	0.031943075358867645
7	0.03151165321469307	0.0341302715241909
8	0.027097385376691818	0.02834339439868927
9	0.02586468681693077	0.03094222955405712
10	0.025958608835935593	0.026472683995962143
11	0.025845462456345558	0.031191131100058556
12	0.022467317059636116	0.026778319850564003
13	0.022349195554852486	0.03179129213094711
14	0.022815994918346405	0.026283729821443558
15	0.027849266305565834	0.021854037418961525
16	0.02176911197602749	0.025683175772428513
17	0.021538661792874336	0.02406325563788414
18	0.021744169294834137	0.025408362969756126
19	0.0254084300249815	0.023604562506079674
20	0.02141577936708927	0.023339897394180298
21	0.020273230969905853	0.02480369620025158
22	0.018204515799880028	0.022914357483386993
23	0.020805299282073975	0.02317294478416443
24	0.02285412698984146	0.01804162561893463
25	0.022767383605241776	0.020389162003993988
26	0.018682321533560753	0.024453820660710335
27	0.01715582236647606	0.021174490451812744
28	0.01858527772128582	0.020431138575077057
29	0.017779719084501266	0.01990249752998352
30	0.02034837007522583	0.02386774867773056
31	0.02143142931163311	0.018876513466238976
32	0.02006887085735798	0.02120082825422287
33	0.018073532730340958	0.021086841821670532
34	0.020598988980054855	0.01826486550271511
35	0.01949833706021309	0.018007181584835052
36	0.017299499362707138	0.01750621572136879
37	0.01967727579176426	0.024766577407717705
38	0.018817156553268433	0.01917010173201561
39	0.01899559237062931	0.0245807021856308
40	0.018043268471956253	0.021219035610556602
41	0.016026588156819344	0.019782692193984985
42	0.016449961811304092	0.02114192396402359
43	0.017463557422161102	0.01924639753997326
44	0.013857156969606876	0.023277834057807922
45	0.019140586256980896	0.017113270238041878
46	0.016914982348680496	0.016736581921577454
47	0.020021500065922737	0.017115464434027672
48	0.01758207194507122	0.022152109071612358
49	0.016012348234653473	0.02037421241402626
50	0.017677567899227142	0.014385968446731567
51	0.017796315252780914	0.014425873756408691
52	0.01738078147172928	0.017901796847581863
53	0.0181661918759346	0.01768057607114315
54	0.018447935581207275	0.01987999677658081
55	0.018578864634037018	0.019920308142900467
56	0.01587931625545025	0.02032477967441082
57	0.01604355312883854	0.018391858786344528
58	0.017276788130402565	0.01656486466526985
59	0.01617366075515747	0.018803562968969345
60	0.01595076359808445	0.01811300590634346
61	0.01888122223317623	0.017344653606414795
62	0.018149588257074356	0.018721675500273705
63	0.01866626925766468	0.0194928627461195
64	0.01533573679625988	0.018978668376803398
65	0.01375627052038908	0.019671384245157242
66	0.016996031627058983	0.018125396221876144
67	0.015862908214330673	0.017233379185199738
68	0.015523141250014305	0.017760608345270157
69	0.01710149645805359	0.017301512882113457
70	0.016552094370126724	0.019038887694478035
71	0.017600124701857567	0.02183760702610016
72	0.016746068373322487	0.019458528608083725
73	0.015479926951229572	0.02023022249341011
74	0.014842580072581768	0.018691841512918472
75	0.01593809761106968	0.018896913155913353
76	0.016413507983088493	0.01786091923713684
77	0.016194894909858704	0.018795225769281387
78	0.016004743054509163	0.018868960440158844
79	0.014843587763607502	0.018898913636803627
80	0.014070536941289902	0.019119566306471825
81	0.012320630252361298	0.019859554246068
82	0.013730602338910103	0.02039293199777603
83	0.012439490295946598	0.020045356824994087
84	0.015022785402834415	0.020092114806175232
85	0.01677757315337658	0.01850205846130848
86	0.013893376104533672	0.016233086585998535
87	0.015257000923156738	0.018548686057329178
88	0.014361441135406494	0.014515154995024204
89	0.015657464042305946	0.016939248889684677
90	0.015846338123083115	0.01733577251434326
91	0.01317688263952732	0.01797129586338997
92	0.014932297170162201	0.019291583448648453
93	0.015480183064937592	0.01852518320083618
94	0.014993115328252316	0.017652645707130432
95	0.01771915704011917	0.019218968227505684
96	0.012140093371272087	0.01686752587556839
97	0.013874412514269352	0.01753605343401432
98	0.014365818351507187	0.015956828370690346
99	0.014943873509764671	0.01723986119031906
