Epoch	Training	Validation
0	0.21208925545215607	0.21291577816009521
1	0.12041667103767395	0.11936073005199432
2	0.10237901657819748	0.10518581420183182
3	0.09140607714653015	0.09176206588745117
4	0.08571912348270416	0.08735192567110062
5	0.08427926898002625	0.0864223837852478
6	0.0770626813173294	0.07757234573364258
7	0.07458879053592682	0.07724171131849289
8	0.0758853554725647	0.07592078298330307
9	0.07196458429098129	0.07400774210691452
10	0.06925342977046967	0.06919029355049133
11	0.07395610958337784	0.07151550054550171
12	0.06656483560800552	0.07449786365032196
13	0.0651557594537735	0.07121280580759048
14	0.06230490282177925	0.07064174115657806
15	0.0687611997127533	0.0670260637998581
16	0.06448444724082947	0.06839154660701752
17	0.06101333722472191	0.06622976064682007
18	0.06326267868280411	0.06479407101869583
19	0.06220043823122978	0.06389138102531433
20	0.06251547485589981	0.06187595799565315
21	0.06029495969414711	0.06652647256851196
22	0.058607179671525955	0.06173523887991905
23	0.05850394815206528	0.05984894558787346
24	0.05636248737573624	0.06290622055530548
25	0.05910153314471245	0.0585639551281929
26	0.05911454185843468	0.05836452916264534
27	0.05740247666835785	0.061292748898267746
28	0.053533196449279785	0.06162925809621811
29	0.05807311087846756	0.057716138660907745
30	0.0593237429857254	0.056779876351356506
31	0.060812387615442276	0.059452544897794724
32	0.056613314896821976	0.06519445776939392
33	0.055100809782743454	0.05861998349428177
34	0.056772563606500626	0.0554158017039299
35	0.056986138224601746	0.05931568890810013
36	0.052446313202381134	0.06180914118885994
37	0.05550334230065346	0.051809489727020264
38	0.05322008579969406	0.05573562532663345
39	0.06278595328330994	0.05537788197398186
40	0.05425489693880081	0.05844849348068237
41	0.05226966738700867	0.056788623332977295
42	0.05731358006596565	0.057383231818675995
43	0.050972312688827515	0.058522600680589676
44	0.051990024745464325	0.052131667733192444
45	0.051726676523685455	0.05851064994931221
46	0.049613695591688156	0.06035813316702843
47	0.05544465407729149	0.05537772178649902
48	0.05211007967591286	0.052691783756017685
49	0.0502481684088707	0.0574808344244957
50	0.054760292172431946	0.05595577135682106
51	0.0500294491648674	0.056719470769166946
52	0.05775561183691025	0.054314225912094116
53	0.049467865377664566	0.05630442127585411
54	0.052025824785232544	0.05760785937309265
55	0.04997771978378296	0.05522755905985832
56	0.050627343356609344	0.05695854127407074
57	0.0471666045486927	0.05337962508201599
58	0.049157269299030304	0.055130235850811005
59	0.051139019429683685	0.04834738373756409
60	0.05054226517677307	0.05882098525762558
61	0.05641326308250427	0.05410347878932953
62	0.051090627908706665	0.053455594927072525
63	0.047180939465761185	0.05611458048224449
64	0.050305623561143875	0.052394360303878784
65	0.045492831617593765	0.05381885543465614
66	0.04970332235097885	0.05022080987691879
67	0.04639790207147598	0.052871569991111755
68	0.04780185595154762	0.052968643605709076
69	0.048714250326156616	0.05213851481676102
70	0.050754010677337646	0.053838469088077545
71	0.05548354238271713	0.05239930748939514
72	0.0511946864426136	0.05489317700266838
73	0.04869580641388893	0.05292752385139465
74	0.044660959392786026	0.0568169467151165
75	0.048202332109212875	0.05247343331575394
76	0.048449188470840454	0.05191750451922417
77	0.05036115646362305	0.055801525712013245
78	0.050330739468336105	0.05665288120508194
79	0.04516809433698654	0.04723786935210228
80	0.051265474408864975	0.051264822483062744
81	0.05110536515712738	0.060181114822626114
82	0.04463978111743927	0.04856744781136513
83	0.04625241458415985	0.05135778710246086
84	0.0473707839846611	0.051144301891326904
85	0.049292296171188354	0.05340917780995369
86	0.05104627460241318	0.054530736058950424
87	0.04882575199007988	0.05210166797041893
88	0.048100546002388	0.048945143818855286
89	0.04649469256401062	0.05023358762264252
90	0.04492472857236862	0.055388011038303375
91	0.0450136661529541	0.055066876113414764
92	0.04996732622385025	0.05519672483205795
93	0.0452360138297081	0.05063708499073982
94	0.04594632610678673	0.0516030415892601
95	0.04907206445932388	0.04953715205192566
96	0.0449807308614254	0.05110067501664162
97	0.03856857493519783	0.04867616295814514
98	0.04765895754098892	0.053971417248249054
99	0.03973649442195892	0.0491485521197319
